"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Afternoon workout 💪","5 Apr 2026, 15:15","5 Apr 2026, 16:06","","Squat (Smith Machine)",,"",0,"warmup",50,6,,,
"Afternoon workout 💪","5 Apr 2026, 15:15","5 Apr 2026, 16:06","","Squat (Smith Machine)",,"",1,"warmup",60,6,,,
"Afternoon workout 💪","5 Apr 2026, 15:15","5 Apr 2026, 16:06","","Squat (Smith Machine)",,"",2,"normal",75,6,,,
"Afternoon workout 💪","5 Apr 2026, 15:15","5 Apr 2026, 16:06","","Squat (Smith Machine)",,"",3,"normal",80,7,,,
"Afternoon workout 💪","5 Apr 2026, 15:15","5 Apr 2026, 16:06","","Squat (Smith Machine)",,"",4,"normal",80,7,,,
"Afternoon workout 💪","5 Apr 2026, 15:15","5 Apr 2026, 16:06","","Leg Extension (Machine)",,"",0,"normal",18,8,,,
"Afternoon workout 💪","5 Apr 2026, 15:15","5 Apr 2026, 16:06","","Leg Extension (Machine)",,"",1,"normal",18,8,,,
"Afternoon workout 💪","5 Apr 2026, 15:15","5 Apr 2026, 16:06","","Seated Leg Curl (Machine)",,"",0,"normal",36,8,,,
"Afternoon workout 💪","5 Apr 2026, 15:15","5 Apr 2026, 16:06","","Seated Leg Curl (Machine)",,"",1,"normal",36,8,,,
"Afternoon workout 💪","5 Apr 2026, 15:15","5 Apr 2026, 16:06","","Romanian Deadlift (Barbell)",,"",0,"normal",30,6,,,
"Afternoon workout 💪","5 Apr 2026, 15:15","5 Apr 2026, 16:06","","Romanian Deadlift (Barbell)",,"",1,"normal",30,6,,,
"Afternoon workout 💪","5 Apr 2026, 15:15","5 Apr 2026, 16:06","","Standing Calf Raise (Machine)",,"",0,"normal",20,9,,,
"Afternoon workout 💪","5 Apr 2026, 15:15","5 Apr 2026, 16:06","","Standing Calf Raise (Machine)",,"",1,"normal",20,8,,,
"Afternoon workout 💪","4 Apr 2026, 15:27","4 Apr 2026, 16:43","","Overhead Press (Smith Machine)",,"",0,"warmup",40,6,,,
